cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,260582.88,457159.95,25871.62,8256.39,4071.59,6.0,261510.86,8256.39,187843.81,1792192323001,0.0
0.0,0.0,93020.73,16468.16,0.0,0.0,4.0,0.0,0.0,0.0,0791774837001,0.0
0.0,120.0,920.0,917.6,120.0,0.0,6.0,120.0,120.0,0.0,0992787791001,0.0
0.0,0.0,993008.77,917093.85,-10540.9,0.0,2.0,0.0,-10540.9,10540.9,0791760739001,0.0
0.0,6155808.62,614001.05,184826.62,102065.66,23713.86,3.0,6155808.62,102065.66,1399626.36,0992813512001,0.0
0.0,0.0,3053.49,-175116.72,0.0,0.0,2.0,0.0,0.0,0.0,0992806184001,0.0
0.0,300313.22,107401.49,54522.86,0.0,3237.18,4.0,300313.22,17311.12,44911.15,0992790784001,0.0
0.0,1257481.16,2374014.26,1328178.54,967970.53,0.0,7.0,3843784.46,967970.53,266331.67,0992834692001,0.0
0.0,435835.84,183864.91,92828.75,237.21,135.7,6.0,435835.84,279.07,166630.26,0791767229001,0.0
0.0,900646.81,286295.16,91472.88,25322.09,6585.39,2.0,900646.81,29790.7,180678.48,0992832665001,0.0
0.0,114325.29,486992.44,15581.47,373.4,82.15,8.0,114325.29,439.29,36387.16,0992821701001,0.0
0.0,1201665.57,168511.3,29107.33,26121.05,16640.99,9.0,1201665.57,30730.65,117958.89,1391807376001,0.0
0.0,117867.38,10953.86,6307.44,0.0,0.0,5.0,117867.38,359.31,8686.04,0791765862001,0.0
0.0,119289.77,45840.0,5730.72,0.0,1385.07,3.0,119289.77,1805.11,25209.54,0791765889001,0.0
0.0,98835.22,21093.25,20185.27,0.0,0.0,2.0,98835.22,3666.85,21152.24,0791765897001,0.0
0.0,6195.0,51269.02,51207.37,246.6,61.65,3.0,6195.0,246.6,5948.4,2191730219001,0.0
0.0,2887266.11,1336071.36,103947.3,0.0,40816.11,4.0,2887266.11,79113.06,361763.38,1391815255001,0.0
0.0,21669957.29,40218942.26,21058474.81,1539565.43,409383.47,121.0,21669957.29,1811253.48,1843930.1,0992855177001,0.0
0.0,0.0,968575.82,19103.24,0.0,0.0,6.0,0.0,0.0,0.0,0992855274001,0.0
0.0,12870.3,20001.68,19736.47,-7933.02,60.0,3.0,12870.3,-7933.02,9400.32,1391814542001,0.0
0.0,284851.2,200010.52,131291.4,-19602.79,0.0,7.0,284851.2,-19602.79,38165.16,1391814496001,0.0
0.0,0.0,5272.71,2000.0,0.0,0.0,3.0,0.0,0.0,0.0,0992851430001,0.0
0.0,2533031.59,625710.13,304643.45,99891456.0,1767.64,7.0,2533031.59,117519.36,567312.61,0992850663001,0.0
0.0,4868997.53,2828586.77,1136971.31,255008.99,90099.58,45.0,4868997.53,306777.73,204941.17,0791770262001,0.0
0.0,445076.13,546066.83,281166.02,-98029.69,0.0,5.0,445076.13,-98029.69,237960.87,0791770270001,0.0
0.0,0.0,134479.71,55828.38,0.0,0.0,8.0,0.0,0.0,0.0,0791768799001,0.0
0.0,6892831.96,8313310.38,1687165.73,0.0,178613.34,4.0,6911747.23,0.0,337420.58,0992845465001,0.0
0.0,18187160.49,17603035.89,4334152.9,1571688.83,157080.17,150.0,18362170.57,1849045.68,978996.55,0992839473001,1.0
0.0,142283937.3,69501825.24,4002323.04,0.0,0.0,984.0,142498475.34,0.0,4529924.17,0992838795001,0.0
0.0,0.0,389176.74,246772.06,0.0,0.0,2.0,0.0,0.0,0.0,0791768365001,0.0
0.0,0.0,683756.62,653162.96,-6311.2,0.0,1.0,0.0,-6311.2,6311.2,0992835591001,0.0
0.0,218694.55,110944.15,107101.84,5064.14,0.0,5.0,218694.55,5957.81,9030.54,0791768306001,0.0
0.0,0.0,19672.57,1804.43,-632.41,0.0,4.0,0.0,-632.41,632.41,0791788579001,0.0
0.0,454507.38,4044445.46,145754.21,0.0,0.0,6.0,456958.09,-353113.16,284321.42,1191752240001,0.0
0.0,378.55,490876.94,490678.99,0.0,123.55,4.0,378.55,323.23,55.32,0992874007001,0.0
0.0,3874684.35,2003242.76,286132.4,0.0,22014.49,62.0,3874684.35,103597.58,1202665.18,0992873442001,0.0
0.0,1514531.58,632504.91,318587.96,210896.92,15145.32,74.0,1514531.58,248114.02,34952.09,0992865091001,0.0
0.0,679281.5,298487.83,126543.94,47694.73,10492.84,4.0,679281.5,56111.45,126083.27,1191717941001,0.0
0.0,0.0,53902.4,10949.4,-7841.35,0.0,4.0,0.0,-7841.35,7841.35,0791775493001,0.0
